condition,review_body,rating,sentiment
Depression,medic work amaz well side effect no joke mood better less anxious less angri sociabl work great serious drawback libido sexual perform get tire easili go outsid hot day cloth quick drench sweat physic activ exhaust muscl quick mouth dri need constant sip water final miss dose get sensat electr shock brain person find benefit outweigh side effect worth tri toler med fail,7.0,Neutral
Weight Loss,day take medic side effect day best way describ fuzzi littl sick stomach feel step roller coaster last first day toler eat tini protein snack everi hour think help case prevent nausea day half pound struggl weight gain due menopaus doctor thought contrav could help need also lesli sanson miracl mile home walk program hope work updat week,9.0,Positive
Atrial Flutte,weight gain tinnitus,5.0,Neutral
Tendonitis,went doctor pain elbow thought tenni elbow doctor dismiss tendon quick prescrib naproxen mg taken twice daili made sure took food third day start experienc stomach pain indign heart burn continu next day increas pain feel bloat fifth day stiff start creep bodi bad take cloth day taken tablet spend day bed even made breast feel sore feel though horrend car crash definit not take drug ever usual fit year old,1.0,Negative
Anxiety,difficulti cope death husband xanax help put everyth perspect allow face enorm challeng rare ever felt slow low dosag calm,10.0,Positive
Birth Control,cannot stand implant first happi got get period month got fine cycl came last month half everi week final stop irrit get piss much easier use gain pound sinc gotten suppos pound gain okay put extra weight go get pregnant cours get,4.0,Negative
Birth Control,recent gotten skylar onsert easier tri rememb pill everi day hpwever constant pain sinc insert spot bleed week quit uncomfort pain bleed get wors sex bad enough cannot stand walk time discomfort,7.0,Neutral
Birth Control,happi implanon far month feel pain insert slight sting numb arm pretti big bruis week small scar far side effect notic side effect biggest complaint longer normal period first period implanon right schedul last normal durat follow cycl last twice long howev spot period period extra long feel like fair trade though not worri birth control year,8.0,Positive
Emergency Contraception,day suppos start period condom broke within hour took pill day expect period got mild cramp migrain got littl snappi went day took pill take test planparenthood pregnanc test came back negat sign birthcontrol implant told wait period end get period day late first day light got heavi second day alreadi realli light enough panti liner third day take shower get realli bad cramp start bleed whole bunch luckili shower work tho,8.0,Positive
Pain,medicin actual touch pain stomach pain bladder problem pain drastic reduc,9.0,Positive
Birth Control,receiv implant decemb problem rememb take pill everyday doctor thought would good sinc well shot one point first month littl rough period day would go away sudden back day later never knew would hit alway least fair light manag month period complet stop get coupl time knew stress put bodi caus new diet sudden work extrem stress work week love got second one put go adjust not near bad first time,9.0,Positive
Vaginal Yeast Infection,dr gave amox clav mg week ago took enough know darn yi use monostat cream outsid itch hwen tell burn like anyth want run hous scream fire hose put fire,5.0,Neutral
Bacterial Vaginitis,drug clear bv immedi sens high effect howev side effect aw lower rate lot day medic increas nauseous dizzi disori excess sleepi want get bed day call doc switch gel unpleas less intrus life prescrib dosag mg larg tablet twice daili sound standard lbs wonder other issu medic also smaller lighter averag perhap suffer overdos given amount drug someon bigger,7.0,Neutral
Chlamydia Infection,given mg azithromycin form four pink pill seem fine first hour half releas clinic drive home felt nauseous extrem abdomin pain pull much pain vomit everyth ate day not sure need get anoth dosag not sinc vomit liter everyth contact local physician morn far not happi camper,4.0,Negative
Mild Cognitive Impairment,aw experi nightmar dream fell bed hit head caus bleed see gp not take drug complet feel much better thought dementia year ago diagnosi suspect,1.0,Negative
Atrial Fibrillation,rythmol month seem control atrial fibril know coupl occurr sinc start rythmol side effect diminish still bout fatigu constip medicin seem okay hate take someth continu year old,9.0,Positive
"Diabetes, Type 2",far good day lost kilo basic remov sugar starch diet great part not crave carb use live dont eat meat basic veggi fish bs drop nice well,10.0,Positive
Sinusitis,take first dose pill within hour feel better usual not take day well great medic sinus,10.0,Positive
Insomnia,usual get sleep hour sleep two hour cannot get back sleep get better abl get back sleep,7.0,Neutral
Anxiety,current medic regimen mess take xanax mg twice day mg bedtim valium mg pm mg pm plus ambien mg tri mg librium slept well first time month idea,7.0,Neutral
Bipolar Disorde,good experi tri find right cocktail sever year high stress job anxieti put test daili not clinic signific point attribut final medicin right take wellbutrin lamict topamax zoloft pretti low dosag lose pound year topamax normal appetit start return gain back pound still self control lack fight depress bay,10.0,Positive
Birth Control,almost back get implanon intimid negat review birth control perfect love negat mood swing weight gain acn food crave side period kind pain spot week week normal period week first month extrem sporat almost non stop pretti regular long small price pay birth control foolproof effect requir actual rememb take,8.0,Positive
